"","Age","Measurement","Gender","L","M","S","P1","P10","P25","P50","P75","P90","P99"
"28",27,"wt","girl",-0.0788714285714286,7.3375,0.121997142857143,5.54185714285714,6.28157142857143,6.75985714285714,7.33771428571429,7.969,8.58771428571429,9.777
"29",28,"wt","girl",-0.0856428571428571,7.41972857142857,0.121912857142857,5.60657142857143,6.353,6.836,7.41971428571429,8.05785714285714,8.68371428571429,9.88728571428571
"30",29,"wt","girl",-0.0922,7.49944285714286,0.121852857142857,5.66871428571429,6.42228571428571,6.91,7.49957142857143,8.14442857142857,8.77685714285714,9.99485714285714
"31",30,"wt","girl",-0.0985714285714286,7.57682857142857,0.121807142857143,5.72928571428571,6.48957142857143,6.98171428571429,7.57685714285714,8.22842857142857,8.86771428571429,10.0995714285714
"32",31,"wt","girl",-0.104728571428571,7.65211428571429,0.12178,5.78814285714286,6.55471428571429,7.05114285714286,7.65214285714286,8.31014285714286,8.95614285714286,10.202
"33",32,"wt","girl",-0.110714285714286,7.72534285714286,0.121767142857143,5.845,6.618,7.11871428571429,7.72528571428571,8.38971428571429,9.04242857142857,10.3018571428571
"34",33,"wt","girl",-0.116514285714286,7.79671428571429,0.121767142857143,5.90042857142857,6.67957142857143,7.18471428571429,7.79685714285714,8.46742857142857,9.12657142857143,10.3995714285714
"35",34,"wt","girl",-0.122157142857143,7.86634285714286,0.121778571428571,5.95414285714286,6.73971428571429,7.249,7.86642857142857,8.54328571428571,9.20885714285714,10.4951428571429
"36",35,"wt","girl",-0.127628571428571,7.93424285714286,0.1218,6.00657142857143,6.798,7.31171428571429,7.93414285714286,8.61728571428571,9.28928571428571,10.5887142857143
"37",36,"wt","girl",-0.132928571428571,8.0006,0.12183,6.05757142857143,6.855,7.37271428571429,8.00057142857143,8.68971428571429,9.368,10.6804285714286
"38",37,"wt","girl",-0.138114285714286,8.06541428571429,0.121868571428571,6.107,6.91071428571429,7.43242857142857,8.06557142857143,8.76057142857143,9.44485714285714,10.7702857142857
"39",38,"wt","girl",-0.1431,8.12884285714286,0.12191,6.15585714285714,6.965,7.49071428571429,8.129,8.82971428571429,9.52028571428571,10.8584285714286
"40",39,"wt","girl",-0.148,8.19094285714286,0.121958571428571,6.20342857142857,7.01828571428571,7.548,8.191,8.89757142857143,9.59428571428571,10.9448571428571
"41",40,"wt","girl",-0.152742857142857,8.25181428571429,0.122008571428571,6.25,7.07028571428571,7.604,8.252,8.96414285714286,9.66657142857143,11.03
"42",41,"wt","girl",-0.157371428571429,8.31155714285714,0.122064285714286,6.29557142857143,7.12157142857143,7.65871428571429,8.31171428571429,9.02957142857143,9.738,11.1134285714286
"43",42,"wt","girl",-0.161828571428571,8.37027142857143,0.122117142857143,6.34028571428571,7.17171428571429,7.71271428571429,8.37028571428571,9.094,9.808,11.1954285714286
"44",43,"wt","girl",-0.166185714285714,8.42808571428571,0.122175714285714,6.38442857142857,7.221,7.76571428571429,8.42828571428571,9.157,9.87714285714286,11.2765714285714
"45",44,"wt","girl",-0.1704,8.48497142857143,0.122232857142857,6.42771428571429,7.26971428571429,7.818,8.485,9.21957142857143,9.945,11.3562857142857
"46",45,"wt","girl",-0.174542857142857,8.54111428571429,0.12229,6.47014285714286,7.31757142857143,7.86942857142857,8.541,9.281,10.0122857142857,11.4351428571429
"47",46,"wt","girl",-0.178528571428571,8.59651428571429,0.122345714285714,6.51271428571429,7.36485714285714,7.92042857142857,8.59657142857143,9.34185714285714,10.0782857142857,11.513
"48",47,"wt","girl",-0.182428571428571,8.65121428571429,0.122402857142857,6.554,7.41157142857143,7.97071428571429,8.65142857142857,9.40171428571429,10.1437142857143,11.5897142857143
"49",48,"wt","girl",-0.1862,8.70528571428571,0.122455714285714,6.59528571428571,7.45771428571429,8.02,8.70528571428571,9.46085714285714,10.2082857142857,11.6655714285714
"50",49,"wt","girl",-0.189885714285714,8.7588,0.122508571428571,6.636,7.50328571428571,8.069,8.75885714285714,9.51957142857143,10.272,11.7407142857143
"51",50,"wt","girl",-0.1935,8.81184285714286,0.122557142857143,6.67628571428571,7.54871428571429,8.118,8.81171428571429,9.57757142857143,10.336,11.815
"52",51,"wt","girl",-0.196957142857143,8.86441428571429,0.122605714285714,6.71628571428571,7.59357142857143,8.16628571428572,8.86442857142857,9.63528571428571,10.3982857142857,11.8887142857143
"53",52,"wt","girl",-0.200342857142857,8.91657142857143,0.12265,6.75614285714286,7.638,8.21428571428572,8.91657142857143,9.69228571428571,10.4607142857143,11.9617142857143
